period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,810,223,11,1,595,546,0.0823529412,0.9240618943000001,10136.1119716604,10449.9841530592,10162.1020023569,0.0025575448,0.969964339,,,,10.5212708104,10.8470697192,755.8151687158,1297.2410534921,753.9051767197,795,0.9814814815,95.2191650628,5496.295494248,0.1092124337,0.33333333330000003,0.33333333330000003,44891.8255672758,40821.7569853239,0.043761314,0.0,943.446377142,450.792343678,0.0,41726.1244066166,0.078125,0.25,0.8727858293,0.1900161031,0.0,0,0,0.0,0,0.0,1.0612311232,0.9353555782,0.0059642147000000005,0.0084745763,0.0995260664
2,1,2,825,221,15,0,597,546,0.0854271357,0.9143667456000001,9716.9889783554,9978.7324399787,9774.6502316336,0.0058990605,0.9737698687,0.0039233708,-0.041349483400000005,0.0185185185,10.5494614695,10.8336289796,760.8663528043,1328.466638106,757.1360397171,803,0.9733333333,94.0939718583,7042.8437950072,0.13484507910000001,0.33333333330000003,0.33333333330000003,45224.7754454741,44850.7295490097,0.0427940194,0.0,827.5892719818,429.4586344256,0.0,41726.1244066166,0.0625,0.0625,0.8715890851,0.1894060995,0.0,0,0,0.0,0,0.0,1.0699945927,0.9377701472000001,0.013861386100000001,0.016949152500000002,0.0917030568
3,1,3,835,219,11,1,597,534,0.10552763820000001,1.1563109466000001,7813.4649013924,9386.2346830739,8036.4559221737,0.027747432800000003,0.8324386898,-0.1451381723,-0.1958964944,0.0121212121,10.6479046114,12.7912178306,769.3594045272,1266.0682806029,763.7252162423,812,0.9724550898000001,93.8278788824,8858.0689506682,0.1622514284,0.33333333330000003,0.33333333330000003,45346.7728799944,50601.5618776307,0.0446116505,2255.1101386628,698.4663724419,326.8393178919,0.0,41726.1244066166,0.0859375,0.0,0.8715890851,0.1894060995,0.0,0,0,0.0,0,0.0,1.1038634743,0.9627485231,0.013861386100000001,0.0254237288,0.1152815013
4,1,4,846,220,13,2,551,468,0.1506352087,1.2671509554,7090.2482536022,8698.8423667326,7679.8902664872,0.0767774008,0.8150795192,-0.020853392300000002,-0.09256029900000001,0.0131736527,12.4467470229,15.2705922921,775.0066589191,1181.1957362871,765.8916804829,813,0.9609929078,92.8880260399,9976.0303344234,0.17884196100000002,0.33333333330000003,0.33333333330000003,45517.7360001027,45346.6966742538,0.0362809215,0.0,635.2592410752,232.9279724568,0.0,41726.1244066166,0.109375,0.1333333333,0.8697749196000001,0.191318328,0.0,0,0,0.0,0,0.0,1.085259337,0.9412817675,0.0218687873,0.0420168067,0.1931034483
5,1,5,851,219,6,1,594,520,0.12457912460000001,1.2563578304,6888.4380824417,8395.9711496007,7239.2185447937,0.0484555702,0.8204456590000001,0.006583578200000001,-0.0284630614,0.0059101655,11.0832419391,13.5088068515,780.5505740662,836.8613605136,685.4493011133,369,0.4336075206,92.9492279233,11198.6146905257,0.19334103760000002,0.33333333330000003,0.33333333330000003,46444.4896415816,45517.6996158868,0.0243383376,0.0,585.9223582952,306.5677487938,0.0,41726.1244066166,0.21705426360000002,0.1538461538,0.8695652174,0.1948470209,0.0,0,0,0.0,0,0.0,1.0497115443,0.9068830785,0.024,0.0826446281,0.4705882353
6,1,6,859,218,8,0,593,508,0.1433389545,1.0993219413,7418.9173283184,8351.1673558637,7967.449877239,0.0688466896,0.8883688965000001,0.0827882222,0.0770100913,0.0094007051,11.5844069073,13.0400861096,783.0764926231,746.5179500323,664.9567008175,253,0.29452852150000003,92.2459792491,12861.3216673247,0.21247391270000002,0.33333333330000003,0.33333333330000003,47394.2297658708,46444.4802606339,0.0192784105,0.0,577.0938857783,373.5830820704,0.0,41726.1244066166,0.3100775194,0.1666666667,0.8681672026,0.19614147910000002,0.0,0,0,0.0,0,0.0,0.9990693183,0.9081589210000001,0.034,0.0901639344,0.7532467532
7,1,7,868,217,9,0,595,521,0.12436974790000001,1.0521323047,7988.8994778059,8781.8907414787,8393.7112747619,0.048227986800000004,0.9097015339000001,0.0240132646,0.07682821150000001,0.0104772992,11.7373227948,12.9023887042,787.7789230617,719.5421383159,681.2112285411,343,0.3951612903,91.5201764288,14476.4049529344,0.22636284180000002,0.33333333330000003,0.33333333330000003,48971.0842276982,49768.3840453029,0.0673916398,2374.1542794321,639.2630905143,421.0107031954,0.0,41726.1244066166,0.3615384615,0.0,0.8681672026,0.1993569132,0.0,0,0,0.0,0,0.0,0.9680203911,0.9695000937,0.048192771100000004,0.0806451613,0.9054054054
8,1,8,877,217,9,0,576,492,0.1458333333,0.9466255416,8090.5131896052,8424.9161254393,8714.0746939748,0.071557971,0.9603078617,0.0556295949,0.012719362900000001,0.0103686636,12.4380433221,12.952141514000001,793.1800139797,683.3816886546,673.0301773501,283,0.322690992,91.3371939103,15035.3377101109,0.2290456777,0.0,0.33333333330000003,50212.0241729508,48971.0842276982,0.030387404000000003,0.0,619.4404728415,478.15803494,0.0,41726.1244066166,0.4108527132,0.0,0.8683788122,0.19903691810000002,0.0,0,0,0.0,0,0.0,0.9761352961,0.924650265,0.052104208400000004,0.0887096774,0.9246231156
9,1,9,883,217,9,3,589,476,0.1918505942,0.8647035086,8121.6564680043,8216.3258167933,9245.7210228618,0.1215767329,0.9884778974,0.02933438,0.0038493576,0.0068415051,12.2958041113,12.4391290319,798.4737881748,653.261818273,628.9380946531,325,0.3680634202,77.5652332673,15516.7714557386,0.23002764350000002,0.0,0.33333333330000003,51397.3029017727,50212.0140022218,0.0463033796,0.0,557.0414231737,660.4200190193,103.3785958456,41726.1244066166,0.488372093,0.1,0.8677419355,0.1967741935,0.0,0,0,0.0,0,0.0,0.9617802966000001,0.9127606096,0.0763052209,0.1393442623,0.9211822660000001
10,1,10,898,217,15,0,594,478,0.19528619530000002,0.7499897413000001,8949.6393178849,8203.6888968076,10231.7968502881,0.1253110818,1.0909286579,0.10364496840000001,0.1019475341,0.0169875425,12.3952759018,11.3621324477,800.8886213532,625.0464200344,598.906418691,339,0.3775055679,77.6911158311,16460.8109198329,0.2337679709,0.0,0.33333333330000003,53451.6451792891,53915.2813856359,0.01,2517.9784838632,731.8642032054,750.5219164431,18.6577132377,41726.1244066166,0.5658914729,0.0,0.8677419355,0.2,0.0,0,0,0.0,0,0.0,0.9586356222,0.9408649059,0.0786290323,0.1451612903,0.9326923077
11,1,11,908,217,12,2,585,449,0.2324786325,0.7018829722000001,9478.6754320436,7814.5155285091,11361.7441370286,0.16573764400000002,1.2129575272,0.1118577906,0.0591125626,0.0111358575,14.4177423299,11.886436257,809.5659612176,596.5539697492,557.6287358102,371,0.4085903084,71.7751800875,17302.4798087485,0.2370439648,0.0,0.33333333330000003,55332.5702648741,53451.6451792891,0.054843848800000004,0.0,746.5545523974,922.634131468,176.0795790706,41726.1244066166,0.4186046512,0.0,0.8675282714,0.20032310180000001,0.0,0,0,0.0,0,0.0,0.9879369292000001,0.9615913663000001,0.1333333333,0.1935483871,0.9020618557000001
12,1,12,918,217,12,2,590,439,0.2559322034,0.6529832971,10083.6836641718,7507.0854312565,12467.9350635819,0.19123065590000002,1.3432221808,0.1073942414,0.063828352,0.0110132159,15.832480024,11.7869405752,814.9154187147,571.2430632977,543.789743389,394,0.4291938998,67.1235606439,17627.4733742993,0.23083481260000002,0.0,0.33333333330000003,58407.5915733689,56445.0612228874,0.0428549436,1112.4909580133,780.0053023216,1178.8073494452,398.8020471236,41726.1244066166,0.4,0.0,0.8670988655,0.1993517018,0.0158730159,0,0,0.0,0,0.0,1.016733029,1.0034247373,0.14574898790000002,0.1869918699,0.8958333333
13,2,1,924,217,7,1,591,413,0.3011844332,0.6022282433,10592.3477790352,7077.4414165463,13944.9669114214,0.24041786210000002,1.4966351759,0.1142126725,0.0504442753,0.0065359477,17.9306844017,11.9806648213,820.0256277762,518.2354905431,504.8307597509,327,0.35389610390000004,64.3340898009,18546.0815631789,0.2271361611,0.0,0.33333333330000003,62882.1691051277,60497.6722736043,0.030418334,2090.0807002354,824.2716432846,1509.6543874166,685.382744132,41843.5680928738,0.3769230769,0.0,0.8668831169000001,0.19967532470000002,0.015625,0,0,0.0,0,0.0,0.9867527381000001,1.0614844688,0.15415821500000002,0.1869918699,0.8489583333
14,2,2,929,213,9,4,587,402,0.3151618399,0.5665458713,11467.2992487147,6750.5612981189,15404.9758365071,0.2556106955,1.6987178906,0.1350246994,0.0826022227,0.0054112554,20.4134444106,12.0169714604,823.2763387651,469.616599063,471.9184625655,300,0.3229278794,60.2617318862,19290.8391916265,0.2157882518,0.0,0.33333333330000003,69804.366900591,62958.0189077137,0.0164689143,75.849802586,917.2157284282,1853.9424197299,936.7266913017,43125.0669343564,0.2727272727,0.25,0.8660130719,0.2009803922,0.012820512800000001,0,0,0.0,0,0.0,0.9846205237000001,1.0697031517,0.2044989775,0.21138211380000002,0.862244898
15,2,3,936,213,9,2,578,340,0.4117647059,0.5463916368,11379.4174005855,5956.1166367403,17797.4088145157,0.36061381070000004,1.9105430761000002,0.1246970946,-0.0076636919,0.0075349839,26.9505211439,14.106209633,824.7524295387,411.7663126371,415.2810631109,325,0.3472222222,52.526840249,18441.3485657572,0.1935059089,0.0,0.33333333330000003,76383.4694427663,69804.366900591,0.022222378600000002,0.0,775.1626619214,2309.1678250469,1534.0051631256,44914.4990792824,0.2121212121,0.0,0.8674304419000001,0.2029459902,0.09708737860000001,0,0,0.0,0,0.0,0.9171019963,1.0236147291,0.2669404517,0.3387096774,0.7546012270000001
16,2,4,939,214,10,7,576,331,0.42534722220000004,0.5007014011,11530.1892446945,5277.6193927861,18459.4498022614,0.37537741550000003,2.1847329992,0.1435141278,0.0132495223,0.0032051282000000003,29.8151488208,13.6470446648,828.3730101956,419.6428240442,414.7546670949,297,0.31629392970000003,54.0754687979,18858.8583232813,0.1775540613,0.0,0.33333333330000003,86662.2574276438,76383.4694427663,0.01,0.0,621.7467616705,2902.1968275382,2280.4500658677,47300.227251286,0.1384615385,0.1666666667,0.8653530378000001,0.20525451560000002,0.0,0,0,0.0,0,0.0,0.9229557151000001,1.0548169826,0.22933884300000001,0.296,0.6762589928
17,2,5,944,212,6,1,582,333,0.4278350515,0.5372087104000001,13546.3256992541,5830.4509623835,21781.5154126385,0.3780815778,2.3233752906,0.0634596042,0.1748571868,0.0053248136000000005,33.9925359189,14.6306694643,828.5501764803,422.8658571041,434.18319942,288,0.3050847458,57.4352589859,20089.3098857032,0.1655889681,0.0,0.33333333330000003,100573.8785720352,92096.6940305891,0.01,5434.4366029453,771.0468365163,3451.1142948906,2680.0674583744,50359.1521457451,0.09160305340000001,0.33333333330000003,0.8637110016,0.20525451560000002,0.0,0,0,0.5,0,-0.5,0.9061518488,1.0077961702,0.2541322314,0.312,0.6333333333
18,2,6,948,212,8,4,581,335,0.4234079174,0.5150290058,13455.3127060806,5181.1010898671,21469.0559631468,0.3732694754,2.5969986828,0.117769778,-0.0067186479,0.0042372881,37.2950939687,14.3608443913,831.4617985808,447.7633702365,426.2651168156,312,0.3291139241,54.0214670333,21435.3388665564,0.1640722395,0.0,0.33333333330000003,108961.9579533208,100573.8785720352,0.01,0.0,435.4537504142,3713.4775860022,3278.0238355879,53513.0458071461,0.0692307692,0.33333333330000003,0.8616144975000001,0.2026359143,0.0,0,0,1.0,0,-1.0,0.9811585558,1.0297334299,0.24173553720000002,0.30894308940000004,0.6000000000000001
19,2,7,944,211,4,8,580,333,0.425862069,0.4940974795,13935.5149094508,4834.9943238053,22330.3025696185,0.3759370315,2.8822194973,0.1098270925,0.0356886691,-0.0042194093,40.2572326812,13.9674416604,832.5182507459,436.9810377644,415.4588207714,335,0.3548728814,54.5194712617,23757.1352989234,0.1680329293,0.33333333330000003,0.33333333330000003,117574.4195508167,108961.9579533208,0.01,0.0,350.4712822555,4434.6177884942,4084.1465062387,57884.5596281539,0.0236220472,0.4,0.8609271523,0.20364238410000002,0.0,0,0,1.0,0,-1.0,0.9389887399,1.0216168059,0.28898128900000003,0.3008130081,0.6125
20,2,8,951,210,8,1,580,336,0.4206896552,0.5238232731,15515.1616129634,5112.2475766081,24639.5542758253,0.3703148426,3.0349002822,0.052973337100000004,0.1133540249,0.0074152542000000005,45.1251539271,14.8687435273,829.0324184818,445.2974532426,424.5967434237,346,0.3638275499,52.5665031406,24916.1945903067,0.1634403283,0.0,0.33333333330000003,127603.7889576762,117574.4195508167,0.01,0.0,359.1851129303,4862.0474922558,4502.8623793255,62575.9348648812,0.0317460317,0.75,0.8609271523,0.20529801320000002,0.0,0,0,0.6666666667000001,0,-0.6666666667000001,0.9900775534,0.9831721243,0.2958333333,0.3306451613,0.49367088610000004
21,2,9,955,208,12,8,578,330,0.4290657439,0.5066875437,17092.3989134887,5205.7320228386,27542.5880188992,0.37941928690000004,3.2833804811,0.0818742548,0.1016578067,0.0042060988,48.7310308332,14.8417252019,832.890790833,447.4902927406,438.1118005905,371,0.3884816754,50.5103097436,27542.7603503979,0.162275631,0.33333333330000003,0.33333333330000003,142130.4577092651,136499.8748283082,0.01,8896.0858706319,498.1077559371,5370.1613889085,4872.0536329714,67751.6908105278,0.0322580645,1.0,0.8585690516000001,0.2063227953,0.0,0,0,0.75,0,-0.75,0.9898187186,1.0191582623,0.2830188679,0.31451612900000003,0.35000000000000003
22,2,10,957,207,7,5,575,334,0.4191304348,0.5174440516000001,19187.4753509502,5396.0244328264,30389.7438941696,0.3686200378,3.5558540533,0.0829856831,0.1225735748,0.0020942408,53.9059906495,15.1597871685,833.6743812206,473.7546145495,465.1026987857,384,0.40125391850000003,50.6474202812,27530.0767639785,0.1493204265,0.0,0.33333333330000003,156586.0192380419,142528.282204815,0.01,397.8244955499,580.0796434248,5696.6219238381,5116.5422804133,72993.7415674069,0.024,0.75,0.8578595318000001,0.20568561870000002,0.0,0,0,1.0,0,-1.0,1.0213859379,0.9978981495,0.28631578950000003,0.3008130081,0.2753623188
23,2,11,964,204,9,2,575,336,0.41565217390000003,0.5417437745,21827.8744063741,5903.6601129842,34365.9094076544,0.36483931950000004,3.6973460512000003,0.0397912838,0.137610551,0.0073145246,58.7188895007,15.8813615733,834.013679862,496.313938819,491.5554211972,416,0.4315352697,54.725379635,27331.0247961779,0.1420789356,0.0,0.0,164435.0795718263,158052.9625887993,0.01,1466.9433507574,801.0138934964,6089.0932756242,5288.0793821278,78529.2449214407,0.032786885200000004,0.75,0.8547579299,0.20534223710000002,0.0,0,0,0.6666666667000001,0,-0.6666666667000001,1.0004154452,0.9980806015,0.3151260504,0.3495934959,0.24444444440000002
24,2,12,969,205,11,6,577,344,0.40381282500000004,0.5687701871,22568.1937196096,5969.3567825184,34825.8719596441,0.35197046190000003,3.7806742907,0.0225373114,0.0339162348,0.005186722,62.0349743704,16.4084418812,837.7782441754,524.2778902522,500.3263056148,381,0.3931888545,51.2417887289,29311.562677006,0.14504147920000002,0.0,0.33333333330000003,171778.2797785209,164435.0795718263,0.01,0.0,617.0253945002,6237.0203184904,5619.9949239902,84058.2045818566,0.0423728814,0.6666666667000001,0.8516666667,0.2066666667,0.0,0,0,1.0,0,-1.0,1.0045045029,0.9997269118000001,0.3067226891,0.3306451613,0.1034482759
